N,name,price,url,pages,size1,size2,size3,weight,cover,year,description,page_price,disc_short
92,Потерянные в джунглях. Первая опубликованная книга-расследование о жутком исчезновении Крис Кремерс и Лисанн Фрон в панамских джунглях,343.0,https://www.chitai-gorod.ru/product/poteryannye-v-dzhunglyah-pervaya-opublikovannaya-kniga-rassledovanie-o-zhutkom-ischeznovenii-kris-kremers-i-lisann-fron-v-panamskih-dzhunglyah-3011484,480.0,2.3,11.5,18.0,280,Мягкий переплёт,2023.0,"В апреле 2014 года в панамскую полицию поступило сообщение об исчезновении двух девушек из Нидерландов — Крис Кремерс и Лисанн Фрон, отправившихся на прогулку по популярному туристическому маршруту «тропа Эль-Пианиста». Несмотря на продолжительные поиски, останки их тел были найдены только через несколько месяцев спустя, а обнаруженные улики спровоцировали возникновение множества теорий относительно их загадочной смерти.  Следователей шокировали снимки в фотоаппарате Лиссан, найденном вместе с остальными вещами в рюкзаке. В нем оказалось 133 фотографии, сделанных в период с 1 по 8 апреля, а бывший глава нидерландской следственной группы Франк ван де Гот назвал ночные фотографии «зловещими» и сравнил их с фильмом ужасов.  Противоречивые показания свидетелей, критика панамских властей и множество нестыковок превратили это дело в одно из самых громких — это исчезновение до сих пор продолжает изучаться следователями, журналистами и родственниками девушек. Почему же расследование так затянулось? Какие версии случившегося существуют? Что на самом деле произошло с Крис и Лисанн в этом злополучном путешествии? Ответы на эти и многие другие вопросы раскроют авторы книги — Юрген Снурен и Мария Вест.",0.7145833333333333,"Полиция Нидерландов начала расследование об исчезновении двух девушек из Нидерландов — Крис Кремерс и Лисанн Фрон, отправившихся на прогулку по популярному туристическому маршруту «тропа Эль-Пианиста»."
100,Не вижу текста. Документальная сказка о потерянном зрении,95.0,https://www.chitai-gorod.ru/product/ne-vizhu-teksta-dokumentalnaya-skazka-o-poteryannom-zrenii-2856785,208.0,1.4,13.0,18.2,250,Твёрдый переплёт,2021.0,"Разглядывать в музее понравившуюся картину, читать интересную книжку, отвечать на сообщения друзей, пересматривать любимый фильм - все это становится невозможным, если ты – теряешь зрение. Когда очки, операция и даже нетрадиционные методы лечения не помогают, как не остаться наедине с болезнью, и несмотря на все трудности, продолжать жить и быть частью большого мира? Как общество относится к человеку, который не соответствует норме? Эта документальная история о потере и восстановлении зрения, преодолении жалости к себе, целительной силе аудиокниг, путешествиях автостопом, спокойному отношению к опечаткам, воле к жизни и неожиданных плюсах странного зрения",0.4567307692307692,Когда вы потеряли зрение?
104,Теория заговора. Правда о рекламе и услугах,78.0,https://www.chitai-gorod.ru/product/teoriya-zagovora-pravda-o-reklame-i-uslugah-2690271,288.0,1.9,13.2,20.7,330,Твёрдый переплёт,2018.0,"Программа ""Теория заговора"" за годы своего существования накопила огромный опыт противодействия маркетинговым ловушкам. Здесь собран концентрат полезных советов и важных инструкций, следуя которым, вы: .перестанете быть марионеткой корпораций .научитесь получать только качественные услуги и приобретать хорошие товары .начнете питаться действительно здоровой пищей.",0.2708333333333333,"Программа ""Теория заговора"" собрана из полезных советов, следуя которым вы станете марионеткой корпораций."
105,Старый Петербург,326.0,https://www.chitai-gorod.ru/product/staryy-peterburg-3018577,480.0,2.3,13.0,20.5,350,Твёрдый переплёт,2024.0,"Михаил Иванович Пыляев (1842-1899) – русский писатель, краевед и журналист. Книга ""Старый Петербург"" посвящена истории и облику северной столицы в XIX веке. Автор детально рассказывает о зданиях и парках Петербурга, о людях, которые здесь жили и работали, выдающихся событиях, случившихся в городе на Неве. Пыляев собрал интересные факты, воспоминания старожилов, информацию из частных архивов и книг. Книга будет интересна всем, кто увлекается историей Петербурга, искусством и архитектурой.",0.6791666666666667,Российский писатель Михаил Иванович Пыляев (родился 1842-1899).
110,Четверть века в Америке. В Вашингтоне от Клинтона до Трампа,209.0,https://www.chitai-gorod.ru/product/chetvert-veka-v-amerike-v-vashingtone-ot-klintona-do-trampa-2861654,416.0,2.3,13.0,20.5,419,Твёрдый переплёт,2021.0,"Андрей Шитов возглавлял представительство ТАСС в Вашингтоне от Билла Клинтона до Дональда Трампа и в общей сложности более четверти века проработал за океаном на главное информационное агентство России. Вряд ли кто-то еще из современных российских журналистов обладает подобным опытом. В книге он делится своими размышлениями: о быте и нравах, о президентах и простых американцах, о жизненных и профессиональных уроках. Вспоминает, как его пытались завербовать американские спецслужбы, как его сын интересовался у Обамы, хочет ли тот попасть на деньги, как участвовал в деле о гибели приемного ребенка из России Вани Скоробогатова. Книга - настоящий кладезь информации для тех, кому интересно, как работают иностранные корреспонденты, кто хочет погрузиться в тонкости и секреты ""второй древнейшей"" профессии. А пытливый взгляд матерого журналиста позволит увидеть ""американскую мечту"" как она есть, без наносного пафоса и прикрас.",0.5024038461538461,"Российский журналист Андрей Шитов пишет книгу, которая позволит увидеть ""американскую мечту"" как она есть."
112,Лунный принц,107.0,https://www.chitai-gorod.ru/product/lunnyy-princ-2766518,144.0,1.3,17.1,16.6,300,Твёрдый переплёт,2019.0,"Эта книга - нечто совершенно особенное, очень личное и в то же время то, что автор со всей искренностью хочет разделить с людьми. История, написанная, будто бы сама собою... Сказка для детей и взрослых. Листья, которые умеют слышать. Лошадь, летает в гости на другие планеты. Лунный король и королева, которые открывают простые истины. О том, где твой дом. И, где живет твое счастье.",0.7430555555555556,"Книга, написанная будто бы сама собою."
115,Будущее сегодня: как пандемия изменила мир,95.0,https://www.chitai-gorod.ru/product/budushchee-segodnya-kak-pandemiya-izmenila-mir-2818404,224.0,2.0,13.3,20.7,319,Твёрдый переплёт,2020.0,"Телеведущая Софико Шеварднадзе собрала в одной книге мысли больших современников о том, как коронавирус и его последствия повлияли на нашу жизнь. Это разговор о проживании кризиса, о том, какие этапы мы проходим в ""Третьей мировой войне"" и что нас ждет. Книга поможет читателю понять, как будет меняться мир, и найти свое место в новой реальности. Разобраться в последствиях пандемии Софико помогали Нассим Талеб, Андрей Курпатов, Татьяна Черниговская, Ай Вейвей, Хелен Фишер, Айдан Салахова и многие другие российские и международные лидеры мнения. Российская журналистика часто бывает сфокусирована на прошлом. В России не принято говорить о будущем — это сложно. Многим кажется, что строить прогнозы или наивно, или провокативно, или глупо, или гарантированно бессмысленно. При этом именно в разговорах о будущем рождаются новые смыслы. Именно в планах на завтра рождается образ будущего, который мы творим своими руками. Софико — редкий журналист, которая устремлена в будущее, которая о нем думает, о нем говорит, о нем волнуется. А значит, будущее — за ней. Михаил Зыгарь, журналист, писатель, автор книг ""Вся кремлевская рать"" и ""Империя должна умереть"" Эта книга — прежде всего лирический дневник обычного человека, переживающего совершенно неординарную ситуацию. В тех событиях, надеждах и страхах, о которых пишет Софико, любому читателю легко узнать себя: да, мы точно так же волновались за здоровье близких, спешили к ним через стремительно закрывающиеся границы, отменяли уже готовые планы и строили новые, чтобы потом снова их отменить, искали (и находили) у себя самые пугающие симптомы, боролись с внезапно навалившимся сном в течение дня, с бессонницей ночью и с тревогами в любое время суток, учились работать, дружить и влюбляться в зуме и пытались угадать, что ждет нас дальше. Наверное, когда-нибудь по этой книге мы сможем вспомнить, что происходило с нами в это странное время. Важное и существенное отличие лишь в том, что у Софико Шеварднадзе в этой неординарной ситуации были очень необычные собеседники: вирусологи и художники, экономисты и футурологи, нобелевские лауреаты и авторы интеллектуальных бестселлеров. И пока автор проживает эти тревожные месяцы, герои ее интервью объясняют, что с нею — и с нами — происходит. Юрий Сапрыкин, журналист, руководитель проекта ""Полка"".",0.42410714285714285,"Российская журналистка Софико Шеварднадзе собрала в одной книге мысли больших современников о том, как коронавирус повлиял на нашу жизнь."
116,Теория заговора. Как нас обманывают в магазинах,78.0,https://www.chitai-gorod.ru/product/teoriya-zagovora-kak-nas-obmanyvayut-v-magazinah-2655928,352.0,2.2,13.2,20.5,370,Твёрдый переплёт,2018.0,"Программа ""Теория заговора"" на Первом канале за годы своего существования накопила огромный опыт противодействия ловушкам, в которые нас заманивают производители. В этой книге собран концентрат полезных советов и важных инструкций, следуя которым, вы перестанете быть марионеткой корпораций, научитесь приобретать только качественные товары по выгодной для вас цене и питаться действительно здоровой пищей! Эта книга будет полезна всем. Ведь каждый третий продукт сейчас – подделка или просрочка. Еда в магазинах напичкана химией. А некоторые производители и вовсе умудряются делать еду из промышленных отходов. Молоко и молочные продукты, сыры, мясо, рыба, бакалея, сладости, хлеб, напитки и алкоголь – до 80% традиционных продуктов на нашем столе ненадлежащего качества или даже вредны! Секрет противодействия маркетинговым уловкам производителей очень простой: возьмите эту книгу и отправляйтесь за покупками – рекомендации программы ""Теории заговора"" помогут вам не ошибиться в выборе. Вы узнаете, как: - распознать отраву на полке - сократить продуктовые расходы на 30% - защитить себя от зомбирования маркетологами",0.2215909090909091,"Программа ""Теория заговора"" на Первом канале накопила огромный опыт противодействия маркетинговым ловушкам производителей."
126,Семиярусная гора,374.0,https://www.chitai-gorod.ru/product/semiyarusnaya-gora-2884525,528.0,3.1,16.8,14.2,759,Твёрдый переплёт,2021.0,"«Семиярусная гора» — одна из самых известных из когда-либо написанных книг о поисках человеком веры, гармонии и мира. Книга была впервые опубликована в октябре 1948 года и сразу возымела успех, измеряемый в нескольких миллионах проданных экземпляров и переводах почти на 30 иностранных языков в Европе и Азии. Ее читательская аудитория расширяется до сих пор, и появление русского издания — культурное событие государственного масштаба: великая книга о поиске ответов на главные жизненные вопросы и пути к себе, провозглашенная «Исповедью» Августина для ХХ века, пришла в Россию. Перевод русского издания выполнен по пятидесятому, юбилейному изданию.",0.7083333333333334,Появление русского издания «Семиярусная гора» — одна из самых известных книг о поиске ответов на главные жизненные вопросы и пути к себе.
148,Наш человек в Киеве,95.0,https://www.chitai-gorod.ru/product/nash-chelovek-v-kieve-2750410,256.0,1.5,13.0,20.5,270,Твёрдый переплёт,2019.0,"Корреспондент Федерального агентства новостей отправляется в командировку на Украину, но вместо рутинной журналистской работы его ждет жесточайшая борьба за выживание. Вы узнаете, как подло действуют украинские неонацисты, калеча и убивая инакомыслящих. Как предают коллег киевские журналисты, готовые донести в полицию за одно неосторожное русское слово. Как агенты СБУ могут несколько лет безуспешно искать нашего журналиста в Киеве, а потом отпустить его за взятку. Вы также удивитесь силе духа простых украинцев, бескорыстно помогавших корреспонденту ФАН. Удивитесь мужеству героев, отважно действующих в антифашистском подполье. Перед вами документальная повесть, основанная на реальных событиях. Откройте ее и читайте до самого финала, а потом передайте друзьям. Пусть весь мир узнает правду о том, что на самом деле происходит в одной европейской стране, в которой, как известно, фашизма нет.",0.37109375,"Журналист Федерального агентства новостей отправляется в командировку на Украину. Вы узнаете, как подло действуют украинские неонацисты, калеча и убивая инакомыслящих."
151,"Найден, жив! Записки о поисковом отряде «Лиза Алерт»",269.0,https://www.chitai-gorod.ru/product/nayden-zhiv-zapiski-o-poiskovom-otryade-liza-alert-3058615,346.0,2.0,11.5,18.0,10,Мягкий переплёт,2024.0,"Лес, в котором летом так весело собирать грибы, кажется знакомым, как свои пять пальцев, а родной город с его улочками и скверами — небольшим и уютным. До тех пор, пока кто-нибудь не затеряется в нем: близкий человек, лучший друг, сосед, чья-то бабушка или незнакомый ребенок. Эта книга о том, как люди ищут и находят, как учатся конструктивно сопереживать и действуют даже в самых тревожных ситуациях. Это одновременно заметки журналиста и дневник волонтера поисково-спасательного отряда ""Лиза Алерт"", который делает все, чтобы потерявшийся человек не пропал. Каково это — быть внутри поисков, являться движущей силой, стремящейся скорее сократить расстояние между поисковиками и человеком, блуждающим в темноте? Тревога, дурные предчувствия, страх, добрая воля и ответственность. Все это поглощается одним желанием — найти человека живым. Как быть, когда родственники не хотят помогать в поисках? Имеет ли право поисковик что-то обещать семье потерявшегося? Зачем создан отряд? Какие мотивы руководят этими людьми? Ответов много, они очень разные, порой неожиданные.",0.7774566473988439,"Книга ""Лиза Алерт"" рассказывает, как люди ищут и находят человека живым."
176,"Москвич. Это мой город. Людмила Улицкая, Андрей Макаревич, Гузель Яхина, Николай Цискаридзе и другие известные москвичи о том, как мы здесь живем",209.0,https://www.chitai-gorod.ru/product/moskvich-eto-moy-gorod-lyudmila-ulickaya-andrey-makarevich-guzel-yahina-nikolay-ciskaridze-i-drugie-izvestnye-moskvichi-o-tom-kak-my-zdes-zhivem-2765382,240.0,2.9,14.5,20.7,509,Твёрдый переплёт,2019.0,"""Сборник уникальных текстов о Москве, в которых город раскрывается с новых сторон. Личные истории известных и ярких людей. Авторы сборника – самые известные и медийные люди Москвы: музыканты и актеры, писатели и телеведущие, бизнесмены и рестораторы. Людмила Улицкая, Андрей Макаревич, Ксения Собчак, Гузель Яхина, Алексей Венедиктов, Александр Ширвиндт, Дмитрий Дибров, Анна Чиповская, Константин Райкин и многие другие! """,0.8708333333333333,"Сборник уникальных текстов о Москве, в которых город раскрывается с новых сторон."
178,Непал. Винтажный роман,217.0,https://www.chitai-gorod.ru/product/nepal-vintazhnyy-roman-2895556,480.0,2.4,13.5,20.6,409,Твёрдый переплёт,2022.0,"Перед нами Европа и Азия. Короли и магараджи. Коммунисты и маоисты. Небесные и земные боги. Герои и монстры. Горы и равнины. Война и революция. Охота и расстрел. Любовь и ненависть. Звёздная жизнь и нелепая смерть людей, о которых знает весь мир. С середины XX века до наших дней. Всё тесно сплелось в одном реальном и мистическом пространстве по имени Непал. Александр Чумиков — журналист и писатель, академический учёный и университетский профессор, альпинист и путешественник. Доктор политических наук, автор 40 учебников, учебных пособий, монографий по тематике PR, медиа, антикризисных коммуникаций. Генеральный директор Международного пресс-клуба. Лауреат премии Союза журналистов России и Национальной литературной премии «Серебряное перо Руси». В художественно-документальной прозе дебютировал в 2008 г. с мемуарной книгой «Записки PRофессионала». В 2020 г. опубликовал трилогию «Москва-400. Кам-са-мол! 90-е».",0.45208333333333334,Александр Чумиков — журналист и писатель.
180,Купание в пруду под дождем,394.0,https://www.chitai-gorod.ru/product/kupanie-v-prudu-pod-dozhdem-3016279,576.0,2.3,11.5,18.0,290,Мягкий переплёт,2023.0,"Секреты литературы легко раскрыть - достаточно лишь перевернуть страницу. ЧЕХОВ. ТУРГЕНЕВ. ТОЛСТОЙ. ГОГОЛЬ. СЕМЬ рассказов известных русских писателей — СЕМЬ эссе, которые Джордж Сондерс создал на основе курса, который вот уже много лет он читает в Сиракьюсском университете. ""Когда читаешь этих авторов, они тебя меняют, а мир вокруг словно бы начинает излагать другую, гораздо более интересную, историю — историю, в какой можно сыграть значимую роль и где на читателя возложена ответственность"". Ведь изучать литературу — это изучать саму жизнь.",0.6840277777777778,"Семь рассказов известных русских писателей — это книга, которую Джордж Сондерс создал на основе курса в Сиракьюсском университете."
189,Украина. Геополитический миф,419.0,https://www.chitai-gorod.ru/product/ukraina-geopoliticheskiy-mif-3033623,512.0,4.0,11.5,18.0,320,Мягкий переплёт,2024.0,"Откуда пошла Русь, чем была Русь Киевская, «Украина» и «укрАина» — одно и то же? Всем, кто изучал историю, ответы известны. А тем, кто не изучал? Или изучал историю альтернативную? «Украина» Андрея Медведева родилась из телевизионного проекта, в который не смогли войти все подробности, факты и документальные подтверждения. Это историческая правда о том, кто, когда, каким образом и зачем впервые вложил в головы жителей исконно русских земель, что они и НЕ русские вовсе, а отдельный этнос, самостийный народ. И подробная хроника трагических последствий, к которым этот геополитический миф, а по сути — обман, приводил уже не однажды — и в 1914-м, и в 1941-м, и сейчас, в XXI веке.",0.818359375,"Откуда пошла Русь, чем была Русь Киевская?"
199,"Подпольные девочки Кабула. История афганок, которые живут в мужском обличье. 2-е издание",374.0,https://www.chitai-gorod.ru/product/podpolnye-devochki-kabula-istoriya-afganok-kotorye-zhivut-v-muzhskom-obliche-2-e-izdanie-3026882,512.0,2.1,11.5,18.0,250,Мягкий переплёт,2024.0,"Их одевают и воспитывают как мужчин. Они - нерожденные сыновья, внуки и братья. Каждый в Афганистане знает их секрет, но никогда не говорит об этом вслух. Ежедневно они бросают вызов шариатскому порядку. Бунтарки и одновременно узницы собственного тела, которое с каждым годом все больше выдает их секрет. Их жизнь - воплощенная провокация. Их награда - свобода, которой они лишатся, как только наденут паранджу. Эти девочки – тайна, и в тайне весь смысл.",0.73046875,В Афганистане их воспитывают как мужчины. Их жизнь - воплощенная провокация.
